"","gisid","occupancy","year_id","visit_num","offset","year","surveyid","duration","Easting","Northing","date_time","Area_sqm","NEAR_DIST","survey_yea","focal_patch_size","habitat_amount","num_patches","mean_patch_size","max_patch_size","total_edge","edge_density","prop_habitat","dist_to_habitat","full_patch_area","patch_density","hypothesis","survey_year","julian_date","time_of_day","prop_habitat_std","edge_density_std","julian_date_std","time_of_day_std"
"1","595733.470014916_6122334.37481838",0,1,1,0.481095513,2010,138404,"300",595733.47,6122334.375,2010-05-31 05:02:00,34301004.648,0,2010,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,34301004.648,14.1471060526129,1,"2010",151,5.03333333333333,0.839752099589925,-0.297072247437671,-1.07142187674733,-0.768748348025599
"2","595733.470014916_6122334.37481838",0,1,2,0.481095513,2010,138405,"300",595733.47,6122334.375,2010-06-06 08:56:00,34301004.648,0,2010,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,34301004.648,14.1471060526129,1,"2010",157,8.93333333333333,0.839752099589925,-0.297072247437671,-0.600578111711759,1.9679557121843
"3","595733.470014916_6122334.37481838",0,1,3,0.481095513,2010,138407,"300",595733.47,6122334.375,2010-06-17 09:37:00,34301004.648,0,2010,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,34301004.648,14.1471060526129,1,"2010",168,9.61666666666667,0.839752099589925,-0.297072247437671,0.262635457520113,2.44746368854587
"4","595733.470014916_6122334.37481838",0,2,1,0.481095513,2016,138422,"300",595733.47,6122334.375,2016-05-31 05:04:00,30279911.7276,0,2016,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,30279911.7276,14.1471060526129,1,"2016",152,5.06666666666667,0.839752099589925,-0.297072247437671,-0.992947915908065,-0.745357715032352
"5","595733.470014916_6122334.37481838",1,2,2,0.481095513,2016,138423,"300",595733.47,6122334.375,2016-06-22 09:50:00,30279911.7276,0,2016,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,30279911.7276,14.1471060526129,1,"2016",174,9.83333333333333,0.839752099589925,-0.297072247437671,0.73347922255568,2.59950280300197
"6","595733.470014916_6122334.37481838",0,2,3,0.481095513,2016,138424,"300",595733.47,6122334.375,2016-06-27 05:42:00,30279911.7276,0,2016,70653.5409280169,70653.5409280169,1,70653.5409280169,70653.5409280169,942.370139083281,0.013337903899868,0.999543136501282,0,30279911.7276,14.1471060526129,1,"2016",179,5.7,0.839752099589925,-0.297072247437671,1.12584902675199,-0.300935688160658
"7","590950.672928798_6123144.89590065",0,1,1,0.473741074,2010,148288,"300",590950.6729,6123144.896,2010-05-31 06:14:00,919221.771312,0,2010,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.771312,14.1471060526129,1,"2010",151,6.23333333333333,0.839752099586712,-0.297072247437363,-1.07142187674733,0.0733144397312945
"8","590950.672928798_6123144.89590065",0,1,2,0.473741074,2010,148291,"300",590950.6729,6123144.896,2010-06-17 06:44:00,919221.771312,0,2010,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.771312,14.1471060526129,1,"2010",168,6.73333333333333,0.839752099586712,-0.297072247437363,0.262635457520113,0.42417393463
"9","590950.672928798_6123144.89590065",0,1,3,0.473741074,2010,148292,"300",590950.6729,6123144.896,2010-06-23 08:06:00,919221.771312,0,2010,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.771312,14.1471060526129,1,"2010",174,8.1,0.839752099586712,-0.297072247437363,0.73347922255568,1.38318988735313
"10","590950.672928798_6123144.89590065",0,2,1,0.473741074,2012,148298,"300",590950.6729,6123144.896,2012-05-25 09:21:00,919221.756028,0,2012,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.756028,14.1471060526129,1,"2012",146,9.35,0.839752099586712,-0.297072247437363,-1.46379168094363,2.26033862459989
"11","590950.672928798_6123144.89590065",0,2,2,0.473741074,2012,148299,"300",590950.6729,6123144.896,2012-06-03 07:19:00,919221.756028,0,2012,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.756028,14.1471060526129,1,"2012",155,7.31666666666667,0.839752099586712,-0.297072247437363,-0.757526033390282,0.833510012011823
"12","590950.672928798_6123144.89590065",1,2,3,0.473741074,2012,148301,"300",590950.6729,6123144.896,2012-06-17 05:28:00,919221.756028,0,2012,70653.5409279405,70653.5409279405,1,70653.5409279405,70653.5409279405,942.370139083281,0.0133379038998824,0.999543136500202,0,919221.756028,14.1471060526129,1,"2012",169,5.46666666666667,0.839752099586712,-0.297072247437363,0.341109418359374,-0.464670119113387
"13","591395.231540903_6123154.05141478",0,1,1,0.473741074,2010,149050,"300",591395.2315,6123154.051,2010-05-31 06:42:00,919221.771312,0,2010,70653.5409279596,70653.5409279596,1,70653.5409279596,70653.5409279596,942.370139083281,0.0133379038998788,0.999543136500472,0,919221.771312,14.1471060526129,1,"2010",151,6.7,0.839752099587516,-0.29707224743744,-1.07142187674733,0.400783301636753
"14","591395.231540903_6123154.05141478",0,1,2,0.473741074,2010,149052,"300",591395.2315,6123154.051,2010-06-17 06:17:00,919221.771312,0,2010,70653.5409279596,70653.5409279596,1,70653.5409279596,70653.5409279596,942.370139083281,0.0133379038998788,0.999543136500472,0,919221.771312,14.1471060526129,1,"2010",168,6.28333333333333,0.839752099587516,-0.29707224743744,0.262635457520113,0.108400389221165
