"","gisid","occupancy","year_id","visit_num","offset","year","surveyid","duration","Easting","Northing","date_time","Area_sqm","NEAR_DIST","survey_yea","focal_patch_size","habitat_amount","num_patches","mean_patch_size","max_patch_size","total_edge","edge_density","prop_habitat","dist_to_habitat","full_patch_area","patch_density","hypothesis","survey_year","julian_date","time_of_day","prop_habitat_std","edge_density_std","julian_date_std","time_of_day_std"
"1","595733.470014916_6122334.37481838",0,1,1,0.481095513,2010,138404,"300",595733.47,6122334.375,2010-05-31 05:02:00,34301004.648,0,2010,696782.420490373,696782.420490373,1,696782.420490373,696782.420490373,3673.99788075665,0.0052728050718774,0.887170931844628,0,34301004.648,1.27323954473516,1,"2010",151,5.03333333333333,1.25544812097286,-0.841849661223293,-1.07616040709734,-0.769486443170915
"2","595733.470014916_6122334.37481838",0,1,2,0.481095513,2010,138405,"300",595733.47,6122334.375,2010-06-06 08:56:00,34301004.648,0,2010,696782.420490373,696782.420490373,1,696782.420490373,696782.420490373,3673.99788075665,0.0052728050718774,0.887170931844628,0,34301004.648,1.27323954473516,1,"2010",157,8.93333333333333,1.25544812097286,-0.841849661223293,-0.604595819904565,1.96562686217988
"3","595733.470014916_6122334.37481838",0,1,3,0.481095513,2010,138407,"300",595733.47,6122334.375,2010-06-17 09:37:00,34301004.648,0,2010,696782.420490373,696782.420490373,1,696782.420490373,696782.420490373,3673.99788075665,0.0052728050718774,0.887170931844628,0,34301004.648,1.27323954473516,1,"2010",168,9.61666666666667,1.25544812097286,-0.841849661223293,0.259939256615523,2.44485611653622
"4","595733.470014916_6122334.37481838",0,2,1,0.481095513,2016,138422,"300",595733.47,6122334.375,2016-05-31 05:04:00,30279911.7276,0,2016,637896.276360562,637896.276360562,1,637896.276360562,637896.276360562,5750.80061048281,0.00901525972732322,0.812194764501577,0,30279911.7276,1.27323954473516,1,"2016",152,5.06666666666667,0.968859630975764,-0.536790400070583,-0.997566309231878,-0.746109406373045
"5","595733.470014916_6122334.37481838",1,2,2,0.481095513,2016,138423,"300",595733.47,6122334.375,2016-06-22 09:50:00,30279911.7276,0,2016,637896.276360562,637896.276360562,1,637896.276360562,637896.276360562,5750.80061048281,0.00901525972732322,0.812194764501577,0,30279911.7276,1.27323954473516,1,"2016",174,9.83333333333333,0.968859630975764,-0.536790400070583,0.731503843808298,2.59680685572237
"6","595733.470014916_6122334.37481838",0,2,3,0.481095513,2016,138424,"300",595733.47,6122334.375,2016-06-27 05:42:00,30279911.7276,0,2016,637896.276360562,637896.276360562,1,637896.276360562,637896.276360562,5750.80061048281,0.00901525972732322,0.812194764501577,0,30279911.7276,1.27323954473516,1,"2016",179,5.7,0.968859630975764,-0.536790400070583,1.12447433313561,-0.301945707213514
"7","590950.672928798_6123144.89590065",0,1,1,0.473741074,2010,148288,"300",590950.6729,6123144.896,2010-05-31 06:14:00,919221.771312,0,2010,489077.964060279,532943.134592843,3,177647.711530948,489077.964060279,4775.30743249473,0.00896025696276764,0.678564274058722,0,919221.771312,3.81971863420549,1,"2010",151,6.23333333333333,0.458071178715155,-0.541273848572027,-1.07616040709734,0.0720868815524065
"8","590950.672928798_6123144.89590065",0,1,2,0.473741074,2010,148291,"300",590950.6729,6123144.896,2010-06-17 06:44:00,919221.771312,0,2010,489077.964060279,532943.134592843,3,177647.711530948,489077.964060279,4775.30743249473,0.00896025696276764,0.678564274058722,0,919221.771312,3.81971863420549,1,"2010",168,6.73333333333333,0.458071178715155,-0.541273848572027,0.259939256615523,0.422742433520457
"9","590950.672928798_6123144.89590065",0,1,3,0.473741074,2010,148292,"300",590950.6729,6123144.896,2010-06-23 08:06:00,919221.771312,0,2010,489077.964060279,532943.134592843,3,177647.711530948,489077.964060279,4775.30743249473,0.00896025696276764,0.678564274058722,0,919221.771312,3.81971863420549,1,"2010",174,8.1,0.458071178715155,-0.541273848572027,0.731503843808298,1.38120094223313
"10","590950.672928798_6123144.89590065",0,2,1,0.473741074,2012,148298,"300",590950.6729,6123144.896,2012-05-25 09:21:00,919221.756028,0,2012,489077.943140657,532943.123573738,3,177647.707857913,489077.943140657,4775.30749834643,0.00896025727159179,0.678564260028762,0,919221.756028,3.81971863420549,1,"2012",146,9.35,0.458071125087112,-0.541273823398798,-1.46913089642465,2.25783982215326
